
26-09-14 20:05:18 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:05:21 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:05:26 [-] [INFO] migrated: the game database, then on their own: archive, messagebus
26-09-14 20:09:11 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:09:14 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:09:19 [-] [INFO] migrated: the game database, then on their own: archive, messagebus
26-09-14 20:10:39 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:10:42 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:10:48 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:10:49 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:10:51 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:10:53 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:10:55 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:10:57 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:11:00 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:11:03 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:12:25 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:12:28 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:12:29 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:12:31 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:25:16 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:25:19 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
